booking_code,customer_id,ticket_source_name,created_date,trip_date,from_to,comp_id,bus_rating,vehicle_type,seat_type,quantity,total_fare,customer_type
WI5G6,DLxPNJcNIPvK28egT5qg, Android,7/14/2020,7/16/2020,Hồ Chí Minh - Gia Lai,kIqYfp0Tr1sqvs4K4iGiOf5uFkgB72w9lgSvBhv1enA,4.3,limousine,Sleeper,1,420000,Old Customer
01X33,DLxPNJcNIPvK28egT5qg, Android,7/8/2020,7/11/2020,Hồ Chí Minh - Bình Phước,3dMQDInPpDZIC1Ykw3tsCN653K5Y1l3C9OaWCekH184,4.2,normal,Sleeper,1,136000,Old Customer
3OM2B,DLxPNJcNIPvK28egT5qg, Android,7/2/2020,7/6/2020,Gia Lai - Hồ Chí Minh,1yrxZr9qd18IDxIuoozn08ChmD47SiEC6LLIvGHUW3E,4.3,normal,Sleeper,1,300000,Old Customer
50M8C,DLxPNJcNIPvK28egT5qg, Android,7/1/2020,7/4/2020,Hồ Chí Minh - Khánh Hòa,ZX/uWhvaphDQluCb+boYgAgnU3wOaCIinCarURzrCXc,4.6,normal,Sleeper,1,252000,Old Customer
9HP3I,dlYvR3xIwsG8/xvncVZw, Android,8/27/2020,8/27/2020,Hồ Chí Minh - Ninh Thuận,IPFsJceyvMq/XkMzZ2QVKef/PeYq9+h2RXzk150R3uA,4.1,normal,Sleeper,1,180000,Old Customer
7C7SY,dMC0+dq6GlQPJCHfVjlw, Android,7/14/2020,7/15/2020,Hà Nội - Cao Bằng,h93WMTV/PhGD4msGt6qsytaOW/nrmLa9llSUO3qEEd8,4.3,normal,Sleeper,1,160000,New Customer
LI4ID,DMeqFy51Mn/hybvdn+BQ, Android,7/28/2020,7/28/2020,Lâm Đồng - Hồ Chí Minh,jNPO7+b/j9cYdfMaiHsSIeBAQVmZnNw1i865WHHVkZI,4,normal,Sleeper,1,200000,New Customer
8L57L,DmkxKp0np8xJxvo/FniA, Android,7/30/2020,7/31/2020,Hồ Chí Minh - Phú Yên,84J32S8b0GaU62c/I/0O36YcCg5LGoe660/Q58fDgo4,4.8,normal,Sleeper,1,300000,Old Customer
2GG4P,dn/+hrSBh1qaVyay8ARw, iOS,7/23/2020,7/23/2020,Hồ Chí Minh - Đắk Lắk,VQskpo8A72uzGQSXOP04omN3AHsYV5orHuSrObloJV8,4.5,limousine,Sleeper,1,456000,New Customer
IQ76K,dNcqyHOWOU+UFlufZyKA, iOS,7/8/2020,7/12/2020,Thừa Thiên-Huế - Quảng Nam,MFgjZiMXbXp/xiTL9fLg3/QYqMe75arq1kVoKlJdGqI,4.3,limousine,Seater,2,552000,Old Customer
Q0984,dNcqyHOWOU+UFlufZyKA, iOS,7/8/2020,7/12/2020,Quảng Nam - Đà Nẵng,JvfeZiPDkVT80XzhEadzpgVJAHJjUjlVb4zqmMgwcqs,5,normal,Seater,2,176000,Old Customer
I9B78,dNcqyHOWOU+UFlufZyKA, iOS,7/4/2020,7/11/2020,Đà Nẵng - Thừa Thiên-Huế,MFgjZiMXbXp/xiTL9fLg3/QYqMe75arq1kVoKlJdGqI,4.3,limousine,Seater,2,408000,Old Customer
D7EZ6,DNgb8uhHqgC/fM1KodSQ, Android,8/16/2020,8/17/2020,Đắk Lắk - Hồ Chí Minh,VQskpo8A72uzGQSXOP04omN3AHsYV5orHuSrObloJV8,4.5,limousine,Sleeper,2,912000,New Customer
6VAS4,DnNZyR4SJSlVkaCwNDyw, iOS,7/8/2020,7/8/2020,Hồ Chí Minh - Bà Rịa-Vũng Tàu,3rd2jkUC0b7Au5AtNWmvJmv9B3AsGKWklQMDQTJK3t0,4.5,limousine,Seater,2,256000,New Customer
B01CO,dNxCXC/CJnIJ7GeVw5tA, iOS,7/10/2020,7/16/2020,Hồ Chí Minh - Khánh Hòa,lzhqg6Sxvu3u54zGoKnzdQ50NGJGZ8vPhJd/pXcUn0c,4.4,limousine,Sleeper,2,640000,Old Customer
4T1H2,doFcwzN8U88BbFfZqBZA, iOS,7/14/2020,7/17/2020,Hồ Chí Minh - Ninh Thuận,ArTcLcsVc9jq4IEWiBcE9KySLs0N+bUQGyqcF2cvYus,4.2,normal,Sleeper,1,192000,Old Customer
